Squadra,Media PPDA,Anno
Verona,14.101669195751136,2024-25
Roma,11.453795379537954,2024-25
Lazio,11.231511254019292,2024-25
Bologna,7.46900269541779,2024-25
Juventus,9.869218500797448,2024-25
Udinese,11.876369327073553,2024-25
Genoa,11.236526946107784,2024-25
Napoli,11.978151260504202,2024-25
Inter,10.18062397372742,2024-25
Atalanta,11.021505376344086,2024-25
Empoli,12.15946348733234,2024-25
Fiorentina,13.380073800738009,2024-25
AC Milan,10.955665024630544,2024-25
Torino,13.32021466905188,2024-25
Cagliari,14.508256880733946,2024-25
Parma Calcio 1913,16.539583333333333,2024-25
Lecce,12.02250803858521,2024-25
Venezia,12.42737896494157,2024-25
Monza,13.098939929328624,2024-25
Como,10.26706231454006,2024-25
Verona,11.710059171597631,2023-24
Roma,11.68273092369478,2023-24
Lazio,12.079908675799087,2023-24
Bologna,10.833546734955185,2023-24
Juventus,13.852413793103448,2023-24
Udinese,15.830924855491329,2023-24
Genoa,13.28735632183908,2023-24
Sassuolo,15.923836389280677,2023-24
Napoli,9.274193548387096,2023-24
Inter,12.052851182197497,2023-24
Atalanta,11.571748878923769,2023-24
Empoli,12.0734055354994,2023-24
Fiorentina,10.370088719898606,2023-24
AC Milan,11.06,2023-24
Frosinone,12.598893499308437,2023-24
Torino,11.53202614379085,2023-24
Cagliari,15.193277310924367,2023-24
Lecce,11.914765906362543,2023-24
Salernitana,15.486607142857142,2023-24
Monza,13.671826625386997,2023-24
Verona,12.707440100882724,2022-23
Roma,12.588739290085678,2022-23
Lazio,14.101326899879371,2022-23
Bologna,10.035365853658536,2022-23
Juventus,12.606860158311346,2022-23
Udinese,12.94875164257556,2022-23
Sampdoria,12.482252141982864,2022-23
Sassuolo,14.153846153846152,2022-23
Napoli,9.469461077844311,2022-23
Inter,10.327058823529413,2022-23
Atalanta,11.323110624315444,2022-23
Empoli,12.575589459084604,2022-23
Fiorentina,8.902004454342984,2022-23
AC Milan,9.301190476190476,2022-23
Torino,11.700404858299596,2022-23
Lecce,11.547413793103448,2022-23
Spezia,10.912632821723731,2022-23
Salernitana,14.225,2022-23
Monza,11.412087912087912,2022-23
Cremonese,13.490314769975788,2022-23
